0  0  7.1  9.2  8.4
  
0  0  7    8.8  5.2
  
0  0  7.2  9.7  6.9
  
0  0  7.5  10.1 2.7
  
0  0  7.6  9.2  1.9

0  0  7.3  9.1  2.5
0  1  6.7  9.1  2.8
  
0  1  6.6  9.3  4.1
  
0  1  7.2  8.3  3.8
  
0  1  7.1  8.4  1.6
  
0  1  6.8  8.5  3.4
 
0  1  6.9  8.6  3.6
1  0  6.9  9.1  5.7
  
1  0  7.2  10   2
  
1  0  6.9  9.9  3.9
  
1  0  6.1  9.5  1.9
  
1  0  6.3  9.4  5.7
 
1  0  6.5  9.3  4.5
1  1  6.5  9.5  4.4
  
1  1  6.2  9.9  6.4
  
1  1  5.8  9.6  3
  
1  1  6.5  9.6  4.1
  
1  1  6.5  9.2  0.8
  
1  1  6.2  9.1  5.1
